Iteration,bra-left,bra-right,Element,Operator
46,11,9,0.358780417,8
46,11,9,0.05284197,9
46,11,9,-0.011476559,10
46,13,9,-2.7328e-05,0
46,13,9,-0.002019985,1
46,13,9,-0.001093221,2
46,13,9,-0.000202318,3
46,13,9,-0.000249013,4
46,13,9,-0.000164138,5
46,13,9,0.002551632,6
46,13,9,0.001098748,7
46,13,9,0.307109933,8
46,13,9,0.183752603,9
46,13,9,0.068457729,10
46,15,9,-0.000478636,0
46,15,9,0.001219801,1
46,15,9,0.000257575,2
46,15,9,-0.000672875,3
46,15,9,-0.000568233,4
46,15,9,-0.000814446,5
46,15,9,-0.00075928,6
46,15,9,-0.000546845,7
46,15,9,0.008514176,8
46,15,9,-0.011021611,9
46,15,9,0.002594196,10
46,1,11,-4.6334e-05,0
46,1,11,-0.000994199,1
46,1,11,-0.000567841,2
46,1,11,-0.000270685,3
46,1,11,-0.000271173,4
46,1,11,-0.000291611,5
46,1,11,0.001248604,6
46,1,11,0.001018681,7
46,1,11,-0.121652937,8
46,1,11,-0.000439303,9
46,1,11,-0.056153494,10
46,3,11,3.8071e-05,0
46,3,11,0.009549815,1
46,3,11,0.005012535,2
46,3,11,0.001040201,3
46,3,11,0.000990847,4
46,3,11,0.001118236,5
46,3,11,-0.01168421,6
46,3,11,-0.005881301,7
46,3,11,-1.309529326,8
46,3,11,-0.003468977,9
46,3,11,0.634914024,10
46,5,11,4.6618e-05,0
46,5,11,0.000550517,1
46,5,11,0.000289866,2
46,5,11,-0.000425742,3
46,5,11,-0.000554657,4
46,5,11,-0.00042387,5
46,5,11,0.000368317,6
46,5,11,0.000278224,7
46,5,11,-0.20021115,8
46,5,11,-0.005733825,9
46,5,11,0.090260338,10
46,7,11,4.4615e-05,0
46,7,11,0.009145664,1
46,7,11,0.004509973,2
46,7,11,-0.002757267,3
46,7,11,-0.00268328,4
46,7,11,-0.002720995,5
46,7,11,-0.003247619,6
46,7,11,-0.00210124,7
46,7,11,-0.102359729,8
46,7,11,0.095256055,9
46,7,11,-0.008440676,10
46,9,11,-2.9e-07,0
46,9,11,0.001713222,1
46,9,11,0.000956319,2
46,9,11,-0.000857315,3
46,9,11,-0.000727931,4
46,9,11,-0.000697446,5
46,9,11,-0.000194641,6
46,9,11,-0.000187511,7
46,9,11,0.358780417,8
46,9,11,0.05284197,9
46,9,11,-0.011476559,10
46,11,11,1.0,0
46,11,11,1.01262213,1
46,11,11,0.506088219,2
46,11,11,0.308468826,3
46,11,11,0.308755592,4
46,11,11,0.30836868,5
46,11,11,0.832955385,6
46,11,11,0.416469519,7
46,11,11,0.101453728,8
46,11,11,0.055850307,9
46,11,11,-0.683282015,10
46,13,11,6.828e-05,0
46,13,11,-0.008450054,1
46,13,11,-0.00409848,2
46,13,11,-0.003050547,3
46,13,11,-0.002915838,4
46,13,11,-0.003001721,5
46,13,11,0.014796753,6
46,13,11,0.00702651,7
46,13,11,-0.159629455,8
46,13,11,0.511418574,9
46,13,11,0.247655965,10
46,15,11,-0.000120139,0
46,15,11,0.002959865,1
46,15,11,0.001307182,2
46,15,11,-0.001348531,3
46,15,11,-0.001419501,4
46,15,11,-0.001316544,5
46,15,11,-0.000622673,6
46,15,11,-4.984e-06,7
46,15,11,0.012545611,8
46,15,11,-0.023938923,9
46,15,11,-0.003701041,10
46,1,13,1.0902e-05,0
46,1,13,0.001200698,1
46,1,13,-0.001134291,2
46,1,13,0.000382139,3
46,1,13,8.6071e-05,4
46,1,13,0.00026347,5
46,1,13,-0.001553641,6
46,1,13,0.000830235,7
46,1,13,0.007496359,8
46,1,13,-0.007741857,9
46,1,13,-0.001738982,10
46,3,13,3.508e-05,0
46,3,13,-0.002049127,1
46,3,13,-0.001072946,2
46,3,13,-0.000481858,3
46,3,13,-0.0003974,4
46,3,13,-0.000421631,5
46,3,13,0.003321474,6
46,3,13,0.001223361,7
46,3,13,-0.065295344,8
46,3,13,-0.117003914,9
46,3,13,-0.033110281,10
46,5,13,1.4126e-05,0
46,5,13,0.000430041,1
46,5,13,0.000506386,2
46,5,13,0.000344309,3
46,5,13,0.000339647,4
46,5,13,0.000323697,5
46,5,13,-0.001234171,6
46,5,13,-0.000605162,7
46,5,13,0.078636171,8
46,5,13,-0.004061982,9
46,5,13,-0.015652501,10
46,7,13,5.376e-06,0
46,7,13,-0.028086247,1
46,7,13,-0.013174144,2
46,7,13,-0.004602709,3
46,7,13,-0.004652676,4
46,7,13,-0.004544795,5
46,7,13,0.036378557,6
46,7,13,0.018649194,7
46,7,13,-0.225902801,8
46,7,13,0.091981706,9
46,7,13,-0.242529473,10
46,9,13,-2.7328e-05,0
46,9,13,-0.002019985,1
46,9,13,-0.001093221,2
46,9,13,-0.000202318,3
46,9,13,-0.000249013,4
46,9,13,-0.000164138,5
46,9,13,0.002551632,6
46,9,13,0.001098748,7
46,9,13,0.307109933,8
46,9,13,0.183752603,9
46,9,13,0.068457729,10
46,11,13,6.828e-05,0
46,11,13,-0.008450054,1
46,11,13,-0.00409848,2
46,11,13,-0.003050547,3
46,11,13,-0.002915838,4
46,11,13,-0.003001721,5
46,11,13,0.014796753,6
46,11,13,0.00702651,7
46,11,13,-0.159629455,8
46,11,13,0.511418574,9
46,11,13,0.247655965,10
46,13,13,1.0,0
46,13,13,1.118661586,1
46,13,13,0.558935843,2
46,13,13,0.288030049,3
46,13,13,0.288176754,4
46,13,13,0.287941284,5
46,13,13,0.927998501,6
46,13,13,0.463796299,7
46,13,13,0.5059995,8
46,13,13,0.348151878,9
46,13,13,0.018116905,10
46,15,13,3.4232e-05,0
46,15,13,0.001328621,1
46,15,13,0.000193861,2
46,15,13,0.000472546,3
46,15,13,0.000185036,4
46,15,13,0.000275346,5
46,15,13,-0.001786076,6
46,15,13,-0.000556799,7
46,15,13,0.020002154,8
46,15,13,-0.036617873,9
46,15,13,-0.001882149,10
46,1,15,9.17e-07,0
46,1,15,2.4387e-05,1
46,1,15,3.9542e-05,2
46,1,15,1.1747e-05,3
46,1,15,9.611e-06,4
46,1,15,1.581e-06,5
46,1,15,-2.8388e-05,6
46,1,15,-4.1077e-05,7
46,1,15,0.002155927,8
46,1,15,0.000195336,9
46,1,15,0.000308054,10
46,3,15,-0.000131252,0
46,3,15,0.000466201,1
46,3,15,0.000175988,2
46,3,15,-2.709e-05,3
46,3,15,-3.8098e-05,4
46,3,15,-2.6137e-05,5
46,3,15,-0.000736955,6
46,3,15,-0.00038167,7
46,3,15,0.02998894,8
46,3,15,0.002903643,9
46,3,15,0.004824295,10
46,5,15,-9.267e-06,0
46,5,15,-0.00044501,1
46,5,15,-0.000193717,2
46,5,15,0.000103407,3
46,5,15,8.0928e-05,4
46,5,15,6.0385e-05,5
46,5,15,0.000142561,6
46,5,15,0.000189177,7
46,5,15,-0.008973424,8
46,5,15,6.146e-06,9
46,5,15,0.001612848,10
46,7,15,-0.000119935,0
46,7,15,0.000845032,1
46,7,15,0.000722754,2
46,7,15,-5.2142e-05,3
46,7,15,-0.000181481,4
46,7,15,-9.2247e-05,5
46,7,15,-0.001358046,6
46,7,15,-0.00038131,7
46,7,15,0.010436109,8
46,7,15,-0.005631012,9
46,7,15,0.002910091,10
46,9,15,-0.000478636,0
46,9,15,0.001219801,1
46,9,15,0.000257575,2
